NU_INSCRICAO;TP_COR_RACA;TP_ESCOLA;SG_UF_RESIDENCIA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q002;Q006
210058123065;5;1;GO;435.9;470.9;460.4;487.2;340.0;B;B
210058127916;2;1;SP;556.9;600.0;598.8;503.1;460.0;D;D
210061754789;1;1;PR;595.7;595.1;590.1;675.9;700.0;E;H
210062057826;1;2;SP;450.4;449.5;503.8;526.2;400.0;E;H
210058571515;1;3;SP;629.8;670.3;606.2;828.7;780.0;F;J
210060079283;1;1;SP;647.1;657.9;623.9;757.8;920.0;E;G
210062021037;1;1;RO;556.7;396.0;493.1;543.7;680.0;G;H
210060386142;3;2;BA;396.5;381.2;438.9;390.6;560.0;B;B
210060764335;2;1;PA;535.6;567.9;488.0;440.0;600.0;E;C
210060411205;3;1;RJ;539.7;490.1;514.5;465.1;780.0;C;C
210061076907;3;2;ES;458.8;317.5;299.8;351.7;220.0;B;D
210058563659;1;1;DF;448.0;578.7;527.0;448.1;640.0;G;M
210058131709;3;2;AM;411.5;423.6;473.2;373.1;0.0;E;B
210061349148;3;2;PE;429.6;492.0;433.4;537.4;580.0;E;E
210059730635;3;1;MS;414.8;373.1;425.3;405.5;700.0;B;B
210058758911;1;1;SP;483.7;548.3;508.9;460.5;840.0;F;E
210060704640;1;2;MS;420.2;486.9;513.5;602.8;720.0;E;F
210058373944;3;2;PE;488.3;479.3;502.9;495.9;360.0;A;C
210061579427;3;2;RJ;432.3;472.4;455.4;442.2;560.0;D;F
210061426241;3;1;MG;467.9;585.5;518.3;651.7;600.0;D;C
210059300863;3;1;CE;509.8;526.9;511.4;577.6;700.0;D;B
210058336311;2;2;RO;398.5;402.9;430.3;360.5;520.0;E;D
210061166958;3;1;GO;509.8;553.7;542.6;448.4;640.0;D;C
210059727040;3;1;MA;432.9;472.6;471.4;336.0;420.0;G;B
210059991047;1;3;MA;492.5;564.4;452.3;656.3;760.0;E;Q
210058690172;1;1;RS;495.4;544.2;543.0;470.5;380.0;E;H
210059362896;3;1;RJ;433.8;495.0;481.8;406.4;580.0;H;B
210058324968;1;2;SP;586.1;592.5;597.7;612.4;800.0;E;C
210061365377;1;1;MG;587.5;563.7;560.4;623.4;860.0;C;G
210061046123;1;1;SP;367.0;397.2;353.8;369.3;340.0;G;E
210059599526;1;3;PB;587.3;622.6;629.6;711.8;800.0;F;N
210061628847;3;1;PE;521.0;562.3;547.9;638.5;760.0;E;H
210060036750;1;2;SC;477.2;473.3;459.9;386.6;520.0;G;A
210059239392;3;1;RJ;555.8;652.4;590.2;412.9;640.0;E;A
210058079813;1;1;SP;527.7;541.1;490.2;466.4;920.0;B;B
210060815853;2;1;MG;582.5;649.2;561.0;613.2;540.0;E;H
210059075464;1;1;PA;529.1;315.0;560.4;476.9;320.0;E;B
210058918828;3;2;PA;410.4;411.3;397.4;360.7;820.0;D;B
210061786131;1;1;AL;505.1;520.0;496.6;402.6;460.0;B;B
210058681740;3;2;RN;465.4;512.9;523.5;442.5;760.0;H;B
210060945832;3;1;MG;597.4;614.1;574.2;616.3;600.0;G;B
210061186059;3;1;RJ;462.8;448.7;501.0;388.4;380.0;D;B
210058709018;1;1;RS;443.9;551.9;558.4;461.1;680.0;E;E
210061770026;1;2;SP;488.1;550.0;510.3;621.1;680.0;F;M
210059116297;1;1;SP;692.8;767.6;666.0;844.3;860.0;F;M
210061444309;1;2;PI;415.9;464.3;453.1;375.2;300.0;D;A
210059653222;3;2;MG;460.9;314.8;430.3;404.4;840.0;E;G
210059096236;1;2;GO;512.3;563.9;610.1;505.1;600.0;E;G
210059810403;1;3;MT;648.1;656.3;671.6;741.2;920.0;F;F
210060327082;1;1;RJ;505.5;571.6;499.5;463.9;920.0;E;J
210058693052;1;1;PB;546.9;568.5;551.4;509.3;840.0;G;J
210060991256;1;1;SP;494.6;504.4;511.0;461.2;520.0;E;C
210058650821;2;1;MA;496.4;517.5;540.1;455.7;580.0;D;D
210058544773;2;1;RJ;575.8;339.5;530.1;609.2;680.0;E;D
210060293238;3;1;AL;491.8;555.5;497.6;495.7;780.0;D;C
210059487135;1;3;MG;534.9;600.3;556.9;668.5;380.0;F;K
210059482279;1;1;RS;676.7;642.7;603.4;761.1;900.0;C;D
210061223261;3;1;PR;469.9;501.6;562.2;352.9;740.0;G;G
210061602460;1;2;CE;657.7;559.3;502.3;752.7;920.0;E;G
210059186417;1;2;SP;478.0;608.8;587.5;573.7;800.0;E;E
210058678302;1;2;PR;569.0;596.4;562.6;606.7;740.0;C;D
210059607970;1;1;PI;440.7;340.0;368.6;370.3;0.0;B;A
210060426436;1;1;MG;475.5;537.9;534.9;453.4;760.0;D;B
210058782948;3;2;DF;540.6;502.2;478.9;547.5;400.0;G;G
210060628422;1;2;CE;563.1;555.2;498.8;631.4;700.0;F;G
210061661602;1;1;SP;483.2;592.4;530.1;413.7;580.0;E;D
210058671031;1;1;SP;458.4;585.5;545.8;607.6;840.0;F;G
210061119360;3;2;MA;448.4;495.8;511.8;556.3;640.0;F;B
210059530004;1;1;MG;575.2;641.7;617.6;619.1;0.0;F;I
210061186732;3;2;SP;443.6;493.2;470.9;390.9;300.0;E;B
210060706366;1;3;SP;530.6;513.5;579.3;722.7;820.0;G;Q
210059914061;2;1;PA;430.0;427.0;420.7;406.1;180.0;F;D
210058373300;2;1;BA;399.5;448.1;412.6;522.1;540.0;E;A
210061034236;3;1;PE;549.4;579.3;630.9;708.4;900.0;F;E
210060853048;2;1;RS;543.3;631.4;580.6;765.1;800.0;G;F
210061430818;1;1;RR;545.7;318.1;463.9;484.9;520.0;D;E
210061758671;2;1;BA;496.9;558.9;561.1;382.0;580.0;E;D
210060866229;1;1;RJ;557.4;611.2;564.0;628.3;880.0;F;K
210058437964;1;2;SC;575.2;600.1;609.2;614.8;740.0;E;C
210058953036;3;1;PA;483.3;587.8;517.6;475.4;480.0;C;B
210060071045;3;1;BA;550.7;633.8;658.5;421.3;620.0;E;B
210059199186;3;1;BA;376.2;461.3;451.6;368.6;520.0;D;B
210060103010;3;1;SP;390.6;524.9;427.4;464.1;460.0;D;C
210058045843;3;1;SP;421.4;492.3;477.5;389.2;440.0;E;B
210058528458;3;2;CE;541.4;602.1;588.8;662.2;600.0;E;C
210059168859;2;1;MG;456.1;521.3;459.3;334.3;480.0;B;B
210059333971;1;1;MG;519.4;485.3;524.3;578.2;460.0;F;I
210061906761;3;3;MG;464.6;561.6;519.7;614.1;680.0;G;I
210058413797;1;1;PB;520.9;550.8;598.3;527.4;800.0;G;C
210058132310;3;2;MG;516.9;542.7;526.3;526.4;600.0;E;D
210061604294;3;1;MT;342.5;449.9;485.1;440.1;440.0;H;C
210058130162;3;1;PA;527.9;562.5;495.6;459.2;600.0;E;B
210060151379;3;1;BA;516.7;543.7;545.7;645.8;580.0;E;A
210059170959;1;1;RJ;576.2;601.0;474.2;505.0;700.0;F;G
210061523317;1;1;PE;535.7;575.4;592.5;566.2;880.0;E;B
210060689636;3;1;BA;471.7;502.5;564.2;415.0;600.0;E;B
